DateTime,Pair,ClosedPosROI,ClosedPosCnt,TradeCnt,InPosCapital,InPosROI0,InPosROI1,ROI
14-12-10 15:59:55,CEB_GPX,0.00,0,0,5552.56,-2.12,0.73,-0.70
14-12-10 15:59:55,CNX_BHI,0.00,0,0,5311.04,3.19,-2.31,0.60
14-12-10 16:00:00,EZA_EWH,0.00,0,0,5310.37,-2.09,0.53,-0.77
14-12-10 15:59:55,ACC_BIP,0.00,0,0,4906.62,0.07,-0.82,-0.36
14-12-10 15:59:55,TAL_CGI,0.00,0,0,5240.37,-3.41,2.90,-0.24
14-12-10 16:00:00,IILG_FLY,0.00,0,0,6149.70,-2.13,0.29,-0.90
14-12-11 15:59:55,CRH_MLM,0.00,0,0,5222.79,0.30,-0.03,0.15
14-12-11 16:00:00,PPS_TITN,0.00,0,0,5086.98,-0.49,-2.25,-1.28
14-12-11 16:00:00,MSCC_PRGS,0.00,0,0,5409.20,0.14,-0.07,0.03
14-12-11 16:00:00,PMCS_SPIL,0.00,0,0,5476.39,-0.91,0.94,0.01
14-12-11 16:00:00,AZPN_MXIM,0.00,0,0,5660.05,-0.15,-0.55,-0.37
14-12-11 15:59:55,IHF_USPH,0.00,0,2,4921.04,-0.41,-1.04,-0.73
14-12-11 16:00:00,SSL_APD,0.00,0,0,4437.78,-2.36,-0.83,-1.38
14-12-11 16:00:00,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-11 15:59:55,CEB_GPX,0.00,0,0,5473.04,-0.46,-0.96,-0.71
14-12-11 16:00:00,CNX_BHI,0.00,0,0,5161.84,-0.97,0.74,-0.16
14-12-11 16:00:00,EZA_EWH,0.00,0,0,5240.94,-2.32,-0.05,-1.17
14-12-11 15:59:55,ACC_BIP,0.00,0,0,4883.80,-0.37,0.54,0.07
14-12-11 16:00:00,TAL_CGI,0.00,0,0,5075.28,0.58,-1.78,-0.61
14-12-11 16:00:00,IILG_FLY,0.00,0,0,6076.39,0.42,1.07,0.75
14-12-12 15:59:55,CRH_MLM,0.00,0,0,5212.70,2.84,-3.59,-0.18
14-12-12 15:59:55,PPS_TITN,0.00,0,0,5049.87,0.95,5.96,3.15
14-12-12 15:59:45,MSCC_PRGS,0.00,0,0,5404.33,1.59,-1.49,0.04
14-12-12 15:59:55,PMCS_SPIL,0.00,0,0,5520.92,1.58,-2.54,-0.47
14-12-12 15:59:55,AZPN_MXIM,0.00,0,0,5670.06,-3.11,0.52,-1.16
14-12-12 15:59:55,IHF_USPH,0.00,0,0,4933.45,-0.86,0.22,-0.31
14-12-12 15:59:55,SSL_APD,0.00,0,0,4424.80,-1.24,3.60,1.90
14-12-12 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-12 15:59:55,CEB_GPX,0.00,0,0,5483.12,-2.25,0.38,-0.92
14-12-12 15:59:55,CNX_BHI,0.00,0,0,5208.06,2.75,-1.36,0.81
14-12-12 16:00:00,EZA_EWH,0.00,0,0,5182.77,-0.78,0.43,-0.16
