DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
14-09-15 10:10:20,ALKS_MNTA,44.14,44.26,59,11.99,11.16,-224,191.09,3.64
14-09-15 12:11:20,IILG_FLY,20.43,20.53,129,14.15,13.98,-188,44.19,0.87
14-09-16 09:30:50,CRH_MLM,24.18,23.23,-109,129.98,127.54,20,52.91,1.04
14-09-17 09:30:10,EZA_EWH,69.86,68.77,37,22.04,21.53,-119,18.68,0.38
14-09-19 10:41:05,CRH_MLM,23.79,23.36,-111,128.17,127.94,20,41.54,0.83
14-09-23 09:51:50,CRH_MLM,23.97,23.37,-108,128.49,128.69,19,67.58,1.37
14-09-24 09:30:15,MSCC_PRGS,26.09,25.12,-100,23.07,22.40,111,21.74,0.45
14-09-26 14:52:40,PNR_DOX,68.60,67.46,38,46.48,46.44,-56,-42.32,-0.79
14-09-30 12:31:30,CNX_BHI,38.03,37.61,69,67.80,65.43,-39,62.43,1.21
14-10-01 09:30:10,EZA_EWH,66.76,64.57,39,21.18,20.30,-125,23.76,0.48
14-10-02 13:52:40,CRH_MLM,23.12,22.24,113,129.82,122.69,-20,42.36,0.84
14-10-03 09:40:05,PMCS_SPIL,7.29,7.13,-360,7.24,6.84,360,-92.59,-1.68
14-10-03 12:51:40,CNX_BHI,35.80,35.56,-72,60.97,62.19,41,66.08,1.33
14-10-06 09:50:10,IILG_FLY,20.27,19.20,-130,13.63,13.06,189,29.42,0.60
14-10-06 12:11:20,BRKR_ININ,18.56,19.59,140,41.82,41.96,-63,133.10,2.58
14-10-09 11:20:55,CRH_MLM,22.55,21.50,-114,122.10,118.76,20,51.57,1.06
14-10-10 11:41:15,CNX_BHI,33.21,32.31,77,59.35,56.21,-43,64.42,1.29
14-10-10 15:22:55,ALKS_MNTA,42.50,40.82,61,11.36,10.38,-236,127.33,2.44
14-10-15 13:52:10,ALKS_MNTA,40.22,39.68,-63,9.60,10.38,236,216.05,4.53
14-10-16 10:20:25,BRKR_ININ,19.68,18.64,-130,42.22,40.56,60,33.67,0.69
14-10-16 12:54:10,CRH_MLM,20.91,20.42,-122,113.25,112.48,22,41.47,0.85
14-10-16 15:43:05,PMCS_SPIL,6.56,6.93,391,6.43,6.48,-416,119.40,2.38
14-10-17 10:30:30,PNR_DOX,64.38,63.90,40,45.50,44.73,-56,22.98,0.47
14-10-21 12:59:00,PPS_TITN,52.07,54.67,51,13.56,13.82,-199,79.79,1.51
14-10-27 11:01:30,EZA_EWH,63.83,65.96,40,20.41,21.00,-127,9.03,0.20
14-10-28 09:30:15,PMCS_SPIL,7.30,7.31,311,6.92,6.65,-343,94.87,2.13
14-10-28 09:42:20,PPS_TITN,55.07,54.62,47,14.59,14.15,-189,60.79,1.16
14-10-28 11:01:10,PNR_DOX,66.44,66.01,-38,46.07,46.94,53,61.08,1.26
14-10-29 09:30:00,AZPN_MXIM,37.62,32.34,-63,28.01,28.49,86,372.83,7.83
14-10-29 09:55:45,CEB_GPX,61.33,68.90,42,29.36,30.15,-87,247.93,4.86
14-10-30 09:40:00,PPS_TITN,54.74,54.39,41,14.45,14.34,-158,2.08,0.07
14-10-30 10:10:00,AZPN_MXIM,36.51,37.01,63,28.84,28.43,-87,65.74,1.39
14-10-31 14:54:50,PNR_DOX,66.93,66.86,-34,46.75,47.43,48,33.84,0.78
14-11-04 15:41:50,PPS_TITN,54.46,56.20,-42,13.74,14.50,159,46.83,1.08
14-11-05 09:31:35,PNR_DOX,66.08,66.69,33,47.66,47.74,-46,14.90,0.37
14-11-05 09:50:40,PPS_TITN,56.54,56.31,-39,14.62,14.51,157,-9.92,-0.19
14-11-06 09:30:00,MSCC_PRGS,25.09,26.15,103,24.07,26.01,-112,-108.62,-2.03
14-11-06 10:10:55,PPS_TITN,56.18,55.94,39,14.81,14.35,-157,61.40,1.39
14-11-06 11:00:50,CXO_TCP,140.36,110.86,18,52.00,62.79,-49,-1061.32,-20.89
14-11-06 11:59:20,EZA_EWH,68.58,66.51,-33,21.50,21.32,104,48.55,1.11
14-11-06 15:28:15,CRH_MLM,22.42,22.50,-101,114.57,122.34,18,130.00,3.04
14-11-07 09:30:05,NX_IR,17.01,20.05,-152,58.72,63.03,43,-278.17,-5.40
14-11-07 10:20:20,PMCS_SPIL,7.27,7.55,-313,6.54,6.99,338,58.87,1.40
14-11-11 09:30:50,ACC_BIP,39.67,39.73,-56,40.20,40.84,54,30.28,0.72
14-11-13 11:01:30,PPS_TITN,55.80,56.69,40,14.59,14.61,-155,31.62,0.73
14-11-14 10:00:40,PMCS_SPIL,7.76,7.63,-289,7.00,7.14,330,80.71,1.86
14-11-19 10:40:30,PNR_DOX,67.84,67.14,-33,47.32,47.50,46,29.72,0.70
14-11-24 09:30:05,IILG_FLY,19.06,21.90,-135,12.62,13.31,202,-243.26,-4.75
14-11-24 14:08:10,PPS_TITN,57.05,57.95,-39,14.08,14.66,152,53.17,1.22
14-11-25 09:30:00,ACC_BIP,38.68,39.64,55,40.93,41.41,-52,27.52,0.65
14-11-25 10:10:45,CRH_MLM,22.17,23.44,101,124.61,129.58,-18,39.30,0.88
14-11-28 09:50:15,EZA_EWH,69.76,68.95,-32,21.50,21.66,101,39.84,0.90
14-11-28 10:10:55,ACC_BIP,39.83,40.40,71,41.99,41.52,-64,67.49,1.22
14-12-02 12:34:45,CEB_GPX,73.17,72.18,-38,30.31,30.73,92,73.95,1.33
14-12-08 10:11:05,ACC_BIP,39.57,40.53,70,41.69,42.30,-67,24.18,0.43
14-12-10 13:05:05,IHF_USPH,112.73,116.91,-20,38.66,39.81,58,-19.62,-0.44
14-12-16 10:02:35,IILG_FLY,22.13,20.21,137,13.61,12.45,-223,-9.97,-0.16
14-12-16 10:51:40,CNX_BHI,32.52,33.94,-78,55.05,55.57,44,-89.83,-1.81
14-12-18 09:30:30,EZA_EWH,66.37,64.59,41,21.43,20.25,-128,74.56,1.36
14-12-19 10:19:05,IHF_USPH,116.97,118.94,21,40.40,40.64,-61,24.39,0.50
14-12-23 11:30:35,PPS_TITN,58.31,59.28,-48,13.70,14.64,189,127.67,2.37
14-12-26 15:56:10,SSL_APD,57.10,38.49,46,131.42,149.16,-20,-1213.19,-23.09
14-12-29 13:45:10,TAL_CGI,40.99,44.08,63,20.89,22.95,-123,-62.07,-1.20
14-12-30 10:15:50,IILG_FLY,20.74,20.84,158,13.27,12.92,-251,97.82,1.48
15-01-05 09:30:40,ACC_BIP,40.44,42.00,-62,41.65,42.35,58,-59.02,-1.20
15-01-06 10:42:45,CRH_MLM,23.59,22.81,-119,122.73,107.82,22,-237.88,-4.32
15-01-06 15:11:35,IHF_USPH,116.83,116.21,27,39.77,40.04,78,1.72,0.03
15-01-09 10:38:20,ACC_BIP,42.70,42.95,-76,42.09,42.83,75,34.19,0.53
15-01-12 09:32:40,EZA_EWH,66.19,64.94,-48,20.56,20.87,152,103.65,1.64
15-01-14 09:35:30,NX_IR,17.66,18.56,184,63.93,60.74,-52,327.76,4.99
15-01-15 09:35:10,ACC_BIP,43.63,43.33,-73,42.78,43.20,73,50.20,0.80
15-01-15 15:08:05,TAL_CGI,40.48,41.24,80,21.76,22.12,-150,3.93,0.06
15-01-15 15:58:30,IILG_FLY,21.54,22.04,-150,13.11,13.63,238,44.66,0.70
15-01-16 13:03:20,IHF_USPH,117.49,119.24,-27,39.98,40.78,78,12.14,0.19
15-01-20 12:25:50,MSCC_PRGS,28.81,26.44,-95,26.73,25.56,101,104.06,1.91
15-01-21 09:30:55,EZA_EWH,65.19,66.18,49,21.26,21.10,-150,69.97,1.10
15-01-21 13:37:40,PMCS_SPIL,8.73,8.78,-314,7.40,8.02,367,201.61,3.69
15-01-22 11:40:20,MSCC_PRGS,27.09,26.90,-120,25.52,25.91,125,68.87,1.07
15-01-23 10:11:10,MSCC_PRGS,26.50,27.78,122,26.23,26.09,-128,170.12,2.58
15-01-26 13:37:20,IILG_FLY,22.55,22.62,-144,13.46,13.88,235,86.31,1.35
15-01-27 14:06:10,EZA_EWH,67.98,68.26,-47,21.32,21.76,148,48.30,0.76
15-01-28 10:47:05,TAL_CGI,42.34,42.66,-76,21.99,22.73,144,79.43,1.24
15-01-28 14:37:55,IHF_USPH,118.54,120.86,-27,39.27,40.26,80,13.55,0.21
15-01-29 13:17:40,TAL_CGI,42.09,42.34,76,23.73,22.50,140,-156.58,-2.40
15-01-29 13:55:40,CEB_GPX,72.45,70.81,38,31.40,33.31,-88,-233.38,-4.23
15-01-30 14:42:35,PPS_TITN,60.08,61.08,-54,12.85,13.82,235,170.16,2.72
15-02-04 10:13:00,CEB_GPX,69.23,71.34,47,32.99,33.17,-98,78.47,1.21
15-02-04 10:20:55,ACC_BIP,43.54,44.79,-74,42.90,43.74,74,-33.00,-0.52
15-02-04 14:12:15,CEB_GPX,71.30,70.70,46,32.90,33.70,94,45.00,0.71
15-02-06 11:05:40,CRH_MLM,23.91,26.21,-136,108.69,118.27,29,-38.29,-0.60
15-02-09 15:46:05,IHF_USPH,120.86,119.86,-27,39.36,39.54,81,38.58,0.60
15-02-10 09:30:20,EZA_EWH,70.35,68.25,-46,21.74,21.76,145,96.41,1.51
15-02-17 15:07:25,IHF_USPH,123.18,123.71,26,41.38,40.62,-78,70.05,1.09
15-02-20 12:44:40,IHF_USPH,124.03,124.36,25,41.41,40.82,-75,50.16,0.81
15-02-23 09:31:25,IILG_FLY,23.08,25.75,-142,13.32,14.80,242,-26.59,-0.41
15-02-24 11:31:25,CEB_GPX,74.63,78.84,-44,34.57,34.90,92,-157.76,-2.44
15-02-26 15:27:40,IHF_USPH,126.63,126.81,-25,40.94,41.94,75,67.73,1.09
