DateTime,Pair,EntryPrice0,ExitPrice0,Qty0,EntryPrice1,ExitPrice1,Qty1,SumProfit,ROI
13-12-03 09:31:05,NX_IR,17.71,17.66,-102,57.22,55.19,25,-46.99,-1.41
13-12-03 10:40:35,PNR_DOX,70.95,69.89,-26,40.26,40.35,45,30.22,0.86
13-12-03 11:41:10,CRH_MLM,25.61,24.42,-73,98.25,96.68,18,57.09,1.61
13-12-03 12:01:15,PPS_TITN,43.77,43.02,44,17.70,16.89,-112,56.39,1.48
13-12-04 10:12:35,CXO_TCP,105.23,103.95,18,48.52,46.49,-40,57.11,1.52
13-12-04 13:02:40,CNX_BHI,37.58,36.72,55,56.57,55.02,-37,8.92,0.25
13-12-06 09:30:40,MTW_TEX,19.96,20.97,-94,35.90,37.76,52,0.43,0.05
13-12-06 09:35:25,SSL_APD,47.75,49.28,38,107.64,108.00,-17,50.85,1.43
13-12-06 13:01:45,ALKS_MNTA,38.81,39.15,-50,17.21,17.81,109,47.16,1.27
13-12-06 15:46:35,TAL_CGI,53.25,53.56,34,20.86,20.37,-88,52.23,1.47
13-12-10 09:40:05,CXO_TCP,98.55,99.95,18,46.15,44.07,-40,107.35,3.00
13-12-10 09:52:20,CEB_GPX,73.65,72.84,28,28.78,28.30,-76,12.34,0.32
13-12-11 10:00:15,PMCS_SPIL,6.03,6.04,-298,5.79,5.95,314,46.41,1.39
13-12-12 10:20:25,PNR_DOX,70.92,69.54,-25,40.48,40.22,43,21.85,0.66
13-12-13 09:30:35,TAL_CGI,53.54,51.27,-33,19.70,19.51,86,57.09,1.69
13-12-13 12:11:20,PMCS_SPIL,5.92,5.94,341,5.95,5.84,-357,41.70,1.11
13-12-16 10:20:25,PMCS_SPIL,6.12,6.25,329,6.07,6.06,-341,41.93,1.13
13-12-16 10:44:05,CRH_MLM,23.77,24.25,76,96.09,96.18,-19,33.15,0.95
13-12-16 11:41:05,ALKS_MNTA,39.80,38.38,-45,17.55,17.46,102,53.29,1.52
